Scenario,CITY,COUNTY,COUNTY_FIPS,END_USE,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,UNIT_NAME,UNIT_TYPE,Lat,Lon,LLType,geometry,FacilityName,Industry,Company,Thermal MWh/hr,Temp_degC,Temp_Req,Gen,Built,GEN_Opt,Modules_Built,NP_Capacity,NG_Cost (counterfactual),NPV_FOAK,NPV_NOAK,NPV_FOAK (per MWt),NPV_NOAK (per MWt)
8_Base,LAKE CHARLES,CALCASIEU,22019,Conventional Boiler Use,1006307,324110,324110,2015,LA,"CP-H-103, H-201, H-205",OCS (Other combustion source),30.1338,-93.3206,Facility,POINT (-10388401.67252277 3520760.206203771),CALCASIEU REFINING COMPANY,Petroleum Refineries,TRANSWORLD OIL,287.014444,310.3291356,550,PBR-HTGR,TRUE,PBR-HTGR,1,200,808849030,16502439.62,56388642.01,82512.19809,281943.2101
8_Base,MENASHA,WINNEBAGO COUNTY,55139,Process Heating,1002862,322130,322130,2015,WI,CP-B01B03,OCS (Other combustion source),44.19842,-88.45044,Facility,POINT (-9846257.941240996 5496199.656031029),U S PAPER MILLS CORP SUBSIDARY OF SONOCO,Paperboard Mills,Sonoco P,431.4403122,382.2447257,550,PBR-HTGR,TRUE,PBR-HTGR,2,400,1675904555,73065003.51,145782896.3,182662.5088,364457.2409
8_Base,TEXAS CITY,GALVESTON COUNTY,48167,CHP and/or Cogeneration Process,1000022,325199,325199,2015,TX,GP-Htr,OCS (Other combustion source),29.42807,-94.995369,Facility,POINT (-10574836.10479913 3430243.394612808),ISP TECHNOLOGIES TEXAS CITY PLANT,Other Basic Organic Chemicals,ASHLAND INC,1528.678276,220,300,iPWR,TRUE,iPWR,1,1500,5813959121,505473262,611851918.3,336982.1746,407901.2789
8_Base,KROTZ SPRINGS,SAINT LANDRY,22097,Process Heating,1007622,324110,324110,2015,LA,EQT089,"TODF (Thermal oxidizer, direct fired, no heat recovery)",30.526504,-91.748383,Facility,POINT (-10213383.27666624 3571408.14728136),ALON REFINING KROTZ SPRINGS INC,Petroleum Refineries,"AlonUSA Energy, Inc.",2071.420982,220,300,iPWR,TRUE,iPWR,1,1500,5813959121,505473262,666003799,336982.1746,444002.5327
8_Base,FRANKLIN,Isle of Wight,51093,CHP and/or Cogeneration Process,1000258,322121,322121,2015,VA,910 CT/HRSG,"CCCT (CC (Turbine, combined cycle))",36.6803,-76.9128,Facility,POINT (-8561893.731484892 4394637.923241165),International Paper-Franklin Mill,"Paper Mills, except Newsprint",INTERNATIONAL PAPER CO,1769.328986,260,300,iPWR,TRUE,iPWR,1,1500,5923498735,580862967.5,580862967.5,387241.9783,387241.9783
8_Base,SELMA,Dallas,1047,CHP and/or Cogeneration Process,1006788,322121,322121,2015,AL,Gas Turbine & Duct Burner,"SCCT (CT (Turbine, simple cycle combustion))",32.425,-86.8694,Facility,POINT (-9670257.373517198 3819228.686951732),International Paper-Riverdale Mill,"Paper Mills, except Newsprint",INTERNATIONAL PAPER CO,1690.348479,177,300,iPWR,TRUE,iPWR,1,1500,5700634426,427478506.2,623215233.9,284985.6708,415476.8226
8_Base,DUBLIN,LAURENS,13175,CHP and/or Cogeneration Process,1000240,322121,322121,2015,GA,GT/HRSG,"CCCT (CC (Turbine, combined cycle))",32.504129,-82.844859,Facility,POINT (-9222247.518720547 3829668.837492385),"SP Fiber Technologies Southeast, LLC","Paper Mills, except Newsprint","SP Fiber Technologies Southeast, LLC",1877.601556,177,300,iPWR,TRUE,iPWR,1,1500,5700634426,427478506.2,648821783,284985.6708,432547.8554
8_Base,NORFOLK,MADISON COUNTY,31119,Process Heating,1003954,325193,325193,2015,NE,"CP-Dryer A, Dryer B, and TO",OCS (Other combustion source),42.06787,-97.38333,Facility,POINT (-10840662.70735332 5171151.468871202),ELKHORN VALLEY ETHANOL LLC,Ethyl Alcohol,"Louis Dreyfus Commodities, LLC",1419.510596,177,300,iPWR,TRUE,iPWR,1,1500,5446763969,270419988.9,491763265.8,180279.9926,327842.1772
10_Base,CORPUS CHRISTI,NUECES,48355,CHP and/or Cogeneration Process,1004880,325110,325110,2015,TX,Cogen-Turbine,"CCCT (CC (Turbine, combined cycle))",27.81,-97.593611,Facility,POINT (-10864071.08119682 3225040.186604103),EQUISTAR CORPUS CHRISTI PLANT,Petrochemicals, LyondellBasell Industries,16.13744778,220,300,Microreactor,TRUE,Microreactor,1,20,78975136.12,-36628644.4,-4391428.421,-1831432.22,-219571.421
10_Base,TYRONE,BLAIR,42013,Process Heating,1000523,322121,322121,2015,PA,GP-Natural Gas Space Heaters,OCS (Other combustion source),40.678953,-78.234728,Facility,POINT (-8709050.083310261 4965102.014322963),TEAM TEN LLC DBA AMER EAGLE PAPER MILLS,"Paper Mills, except Newsprint",Team Ten LLC,335.2013697,220,300,Microreactor,TRUE,Microreactor,12,240,1162791824,-291509742,47743111.08,-1214623.925,198929.6295
10_Base,CLINTON,CLINTON,19045,CHP and/or Cogeneration Process,1002927,325199,325199,2015,IA,GP-Small Units,OCS (Other combustion source),41.807364,-90.295307,Facility,POINT (-10051627.59626231 5132167.040845506),EQUISTAR CHEMICALS LP,Other Basic Organic Chemicals,LYONDELLBASELL,23.42595615,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,TAFT,SAINT CHARLES,22089,CHP and/or Cogeneration Process,1007031,325199,325199,2015,LA,ES_BLR_WEST PACKAGE BOILER,"OB (Boiler, other)",29.987341,-90.445067,Facility,POINT (-10068298.80320351 3501922.750848427),St Charles Operations (Taft/Star) Union Carbide Corp,Other Basic Organic Chemicals,THE DOW CHEMICAL CO,22.89128839,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,PASADENA,HARRIS,48201,CHP and/or Cogeneration Process,1006867,325199,325199,2015,TX,CP-1,OCS (Other combustion source),29.625819,-95.061592,Facility,POINT (-10582208.01543793 3455542.472932275),CLEAR LAKE PLANT,Other Basic Organic Chemicals,Celanese Corporation,227.1981991,220,300,Microreactor,TRUE,Microreactor,11,220,1065892506,-267217263.5,49632075.48,-1214623.925,225600.3431
10_Base,ORANGE,ORANGE,48361,CHP and/or Cogeneration Process,1003382,325199,325199,2015,TX,OLD DUPONT COGEN,OCS (Other combustion source),30.054796,-93.753863,Facility,POINT (-10436632.28906233 3510595.304750883),DUPONT SABINE RIVER WORKS,Other Basic Organic Chemicals,E I DU PONT DE NEMOURS & CO,43.39982392,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,AUGUSTA,RICHMOND,13245,CHP and/or Cogeneration Process,1006428,325199,325199,2015,GA,CP-1,OCS (Other combustion source),33.44136,-81.93123,Facility,POINT (-9120542.803666579 3954034.726352522),DSM CHEMICALS NORTH AMERICA INCORPORATED,Other Basic Organic Chemicals,DSM HOLDING CO INC,45.9180139,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,PORT NECHES,JEFFERSON,48245,CHP and/or Cogeneration Process,1002884,325199,325199,2015,TX,Bundle Furnace,OCS (Other combustion source),29.964146,-93.930138,Facility,POINT (-10456255.13230192 3498941.978142805),TPC GROUP,Other Basic Organic Chemicals,TPC Group LLC,124.6480804,220,300,Microreactor,TRUE,Microreactor,6,120,581395912.1,-145754871,39919898.89,-1214623.925,332665.8241
10_Base,WESTLAKE,CALCASIEU,22019,CHP and/or Cogeneration Process,1005823,325199,325199,2015,LA,CP-Natural Gas,OCS (Other combustion source),30.241902,-93.274446,Facility,POINT (-10383263.83274469 3534682.141577986),Sasol Chemicals (USA) LLC - LAKE CHARLES CHEMICAL COMPLEX,Other Basic Organic Chemicals,SASOL CHEMICALS (USA) LLC,26.15247231,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,WILLOW ISLAND,PLEASANTS,54073,CHP and/or Cogeneration Process,1006142,325199,325199,2015,WV,Boiler 831 X,"OB (Boiler, other)",39.35537,-81.30658,Facility,POINT (-9051007.083742561 4772703.868076194),CYTEC INDUSTRIES INC,Other Basic Organic Chemicals,CYTEC INDUSTRIES INC,64.06149835,220,300,Microreactor,TRUE,Microreactor,3,60,290697956.1,-72877435.5,22004698.64,-1214623.925,366744.9774
10_Base,CARROLLTON,CARROLL,21041,CHP and/or Cogeneration Process,1002548,325199,325199,2015,KY,CP-NGBill,OCS (Other combustion source),38.7074,-85.1048,Facility,POINT (-9473823.000063388 4679845.376786535),DOW CORNING,Other Basic Organic Chemicals,Dow Corning Corporation ,16.92619151,220,300,Microreactor,TRUE,Microreactor,1,20,82835173,-33972006.92,-1734790.936,-1698600.346,-86739.5468
10_Base,ORANGE,ORANGE,48361,CHP and/or Cogeneration Process,1002212,325199,325199,2015,TX,ADN North Boiler,"OB (Boiler, other)",30.054167,-93.752208,Facility,POINT (-10436448.05530507 3510514.408217617),INVISTA ORANGE SITE,Other Basic Organic Chemicals,KOCH INDUSTRIES INC,118.6535543,220,300,Microreactor,TRUE,Microreactor,6,120,580679220.9,-146248127.7,39426642.23,-1218734.397,328555.3519
10_Base,KALAMA,COWLITZ,53015,CHP and/or Cogeneration Process,1003518,325199,325199,2015,WA,Boiler U-15 (EU13),"OB (Boiler, other)",46.02191,-122.85698,Facility,POINT (-13676376.45399939 5783861.00855974),EMERALD KALAMA CHEMICAL LLC,Other Basic Organic Chemicals,EMERALD PERFORMANCE MATERIALS LLC,16.40717877,220,300,Microreactor,TRUE,Microreactor,1,20,80295173.97,-35720139.6,-3482923.619,-1786006.98,-174146.181
10_Base,Nederland,JEFFERSON COUNTY,48245,CHP and/or Cogeneration Process,1010636,325199,325199,2015,TX,CP-RFM-41,OCS (Other combustion source),30.006911,-94.029719,Facility,POINT (-10467340.4385146 3504438.219051541),OCI Beaumont LLC,Other Basic Organic Chemicals,Albiorix Inc.,20.42514952,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,CINCINNATI,Hamilton,39061,CHP and/or Cogeneration Process,1007325,325199,325199,2015,OH,GP-Process Heat,OCS (Other combustion source),39.1792,-84.5053,Facility,POINT (-9407086.965332821 4747373.037778951),"Emery Oleochemicals, LLC",Other Basic Organic Chemicals,EMERY OLEOCHEMICALS LLC,28.26995823,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,PORT ARTHUR,JEFFERSON,48245,CHP and/or Cogeneration Process,1005523,325199,325199,2015,TX,GP-Stack,OCS (Other combustion source),29.825641,-93.965034,Facility,POINT (-10460139.73725264 3481157.25089441),"KMTEX, LLC",Other Basic Organic Chemicals,"KMCO, LLC",29.18306197,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,CHICAGO,COOK,17031,CHP and/or Cogeneration Process,1001336,325199,325199,2015,IL,CP-Natural Gas for Boilers,OCS (Other combustion source),41.809983,-87.656351,Facility,POINT (-9757860.358116457 5132558.180487937),VANTAGE OLEOCHEMICALS,Other Basic Organic Chemicals,Vantage Oleochemicals Inc.,138.9532759,220,300,Microreactor,TRUE,Microreactor,7,140,680024129.5,-168857449.7,45148656.24,-1206124.641,322490.4017
10_Base,PASADENA,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1003402,325199,325199,2015,TX,GP-Pasadena,OCS (Other combustion source),29.742498,-95.165513,Facility,POINT (-10593776.44824066 3470493.119779862),ALBEMARLE CORPORATION HOUSTON PLANT,Other Basic Organic Chemicals,Albemarle Corporation,103.3700592,220,300,Microreactor,TRUE,Microreactor,5,100,484496593.4,-121462392.5,35017035.43,-1214623.925,350170.3543
10_Base,PASADENA,HARRIS,48201,CHP and/or Cogeneration Process,1004732,325199,325199,2015,TX,CP-Americanacryl,OCS (Other combustion source),29.62132,-95.06676,Facility,POINT (-10582783.31456635 3454966.341342328),AMERICAN ACRYL PASADENA,Other Basic Organic Chemicals,ARKEMA INC,46.41847064,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,JACKSONVILLE,DUVAL,12031,CHP and/or Cogeneration Process,1007956,325199,325199,2015,FL,GP-5 combustion units at Facility,OCS (Other combustion source),30.34774,-81.7494,Facility,POINT (-9100301.580655638 3548327.350707611),IFF CHEMICAL HOLDINGS INC,Other Basic Organic Chemicals,INTERNATIONAL FLAVORS & FRAGRANCES INC,23.91309852,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,WILMINGTON,NEW HANOVER,37129,CHP and/or Cogeneration Process,1006573,325199,325199,2015,NC,GP-1,OCS (Other combustion source),34.31309,-77.9786,Facility,POINT (-8680538.044772362 4070920.241294013),INVISTA,Other Basic Organic Chemicals,KOCH INDUSTRIES INC,23.0699083,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,NEWARK,NEW CASTLE COUNTY,10003,CHP and/or Cogeneration Process,1006673,325199,325199,2015,DE,CP-incoming gas line to plant,OCS (Other combustion source),39.685724,-75.72589,Facility,POINT (-8429767.514667448 4820377.098076324),FMC CORP,Other Basic Organic Chemicals,FMC CORP,259.965946,220,300,Microreactor,TRUE,Microreactor,12,240,1162791824,-291509742,47743111.08,-1214623.925,198929.6295
10_Base,CONROE,MONTGOMERY,48339,CHP and/or Cogeneration Process,1002993,325199,325199,2015,TX,GP-100,OCS (Other combustion source),30.316109,-95.387684,Facility,POINT (-10618508.41082969 3544247.767171063),HUNTSMAN PETROCHEMICAL LLC,Other Basic Organic Chemicals,Huntsman Petrochemical LLC,127.4366528,220,300,Microreactor,TRUE,Microreactor,6,120,581395912.1,-145754871,39919898.89,-1214623.925,332665.8241
10_Base,SAINT GABRIEL,IBERVILLE,22047,CHP and/or Cogeneration Process,1004985,325199,325199,2015,LA,GP-1,OCS (Other combustion source),30.250833,-91.092278,Facility,POINT (-10140346.00215932 3535833.006080237),"TAMINCO, INC",Other Basic Organic Chemicals,Taminco US Inc.,29.44293082,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,GEISMAR,ASCENSION PARISH,22005,CHP and/or Cogeneration Process,1004900,325199,325199,2015,LA,BLR-1,"OB (Boiler, other)",30.209722,-91.013889,Facility,POINT (-10131619.77859552 3530536.236637869),WESTLAKE VINYLS CO LP,Other Basic Organic Chemicals,Westlake Chemcial Company,52.657233,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,NORCO,ST. CHARLES PARISH,22089,CHP and/or Cogeneration Process,1005744,325199,325199,2015,LA,GP-HexionNorco,OCS (Other combustion source),29.99891,-90.423054,Facility,POINT (-10065848.32725268 3503409.734937025),HEXION INC.,Other Basic Organic Chemicals,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC,52.61540128,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,HOUSTON,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1004018,325199,325199,2015,TX,GP-Heaters-Boilers,OCS (Other combustion source),29.7551,-95.09824,Facility,POINT (-10586287.65213652 3472108.914915753),JOHANN HALTERMANN,Other Basic Organic Chemicals,Monument Chemical Inc.,50.90880137,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,FRIENDLY,TYLER COUNTY,54095,CHP and/or Cogeneration Process,1003940,325199,325199,2015,WV,CP-1,OCS (Other combustion source),39.484572,-81.093403,Facility,POINT (-9027276.328653723 4791321.96424454),MPM SILICONES LLC,Other Basic Organic Chemicals,MOMENTIVE PERFORMANCE MATERIALS INC.,154.6528968,220,300,Microreactor,TRUE,Microreactor,8,160,756856582.2,-206960777.7,37617629.11,-1293504.861,235110.1819
10_Base,LA PORTE,HARRIS,48201,CHP and/or Cogeneration Process,1002003,325199,325199,2015,TX,GP-LPTCOMBUSTION,OCS (Other combustion source),29.700264,-95.036967,Facility,POINT (-10579466.77297715 3465079.467698467),E I DU PONT DE NEMOURS LA PORTE PLANT,Other Basic Organic Chemicals,E. I. DuPont de Nemours and Company,49.34385779,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,MUSCATINE,MUSCATINE COUNTY,19139,CHP and/or Cogeneration Process,1002246,325199,325199,2015,IA,CP-1,OCS (Other combustion source),41.34852,-91.0811,Facility,POINT (-10139101.67289123 5063884.996232945),MONSANTO CO,Other Basic Organic Chemicals,MONSANTO CO,328.2936026,220,300,Microreactor,TRUE,Microreactor,12,240,1162791824,-291509742,47743111.08,-1214623.925,198929.6295
10_Base,CHATTANOOGA,HAMILTON COUNTY,47065,CHP and/or Cogeneration Process,1004339,325199,325199,2015,TN,CP- 1,OCS (Other combustion source),35.07592,-85.277367,Facility,POINT (-9493033.070631111 4174203.161020641),NA INDUSTRIES INC,Other Basic Organic Chemicals,"NA Industries, Inc.",33.49947952,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,EL DORADO,UNION COUNTY,5139,CHP and/or Cogeneration Process,1008036,325199,325199,2015,AR,CP-Great Lakes Chemical - South Plant,OCS (Other combustion source),33.109833,-92.678806,Facility,POINT (-10316957.49124859 3909891.547862812),GREAT LAKES SOUTH,Other Basic Organic Chemicals,CHEMTURA CORP,321.3430765,220,300,Microreactor,TRUE,Microreactor,12,240,1162791824,-291509742,40682545.32,-1214623.925,169510.6055
10_Base,Belle Chasse,PLAQUEMINES PARISH,22075,CHP and/or Cogeneration Process,1007694,325199,325199,2015,LA,GP-Natural Gas Fired Sources,OCS (Other combustion source),29.80825,-90.01,Facility,POINT (-10019867.36630256 3478925.904483287),Chevron Oronite Oak Point,Other Basic Organic Chemicals,CHEVRON CORP,24.14641485,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,McIntosh,WASHINGTON COUNTY,1129,CHP and/or Cogeneration Process,1010704,325199,325199,2015,AL,GP-1,OCS (Other combustion source),31.25639,-88.01305,Facility,POINT (-9797567.909162927 3666091.221355721),Tate & Lyle Sucralose LLC,Other Basic Organic Chemicals,Tate & Lyle Sucralose LLC,264.2616223,220,300,Microreactor,TRUE,Microreactor,12,240,1162791824,-291509742,47743111.08,-1214623.925,198929.6295
10_Base,CLAYPOOL,KOSCIUSKO COUNTY,18085,CHP and/or Cogeneration Process,1002988,325199,325199,2015,IN,Boiler 1,"OB (Boiler, other)",41.12536,-85.89133,Facility,POINT (-9561379.119157022 5030849.856429011),LOUIS DREYFUS AGRICULTURAL INDUSTRIES LL,Other Basic Organic Chemicals,Louis Dreyfus Commodities,191.0093409,220,300,Microreactor,TRUE,Microreactor,9,180,872093868.2,-218632306.5,45034685.88,-1214623.925,250192.6993
10_Base,Deerfield,VERNON,29217,CHP and/or Cogeneration Process,1010610,325199,325199,2015,MO,CP-1,OCS (Other combustion source),37.80725,-94.585301,Facility,POINT (-10529187.54384851 4552232.372328158),ADM Deerfield,Other Basic Organic Chemicals,Archer Daniels Midland,88.71954205,220,300,Microreactor,TRUE,Microreactor,4,80,387597274.7,-97169914.01,28013628.34,-1214623.925,350170.3543
10_Base,LONGVIEW,Harrison,48203,CHP and/or Cogeneration Process,1007438,325199,325199,2015,TX,1,Electricity Generator,32.4472,-94.6917,Facility,POINT (-10541031.82634942 3822156.79306204),Eastman Chemical - Texas Operations,Other Basic Organic Chemicals,Eastman Chemical Company,50.17033454,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,VICTORIA,VICTORIA,48469,CHP and/or Cogeneration Process,1001781,325199,325199,2015,TX,Cogen,"CCCT (CC (Turbine, combined cycle))",28.673056,-96.953611,Facility,POINT (-10792826.60708913 3334098.837220313),INVISTA S.a r.l.,Other Basic Organic Chemicals,KOCH INDUSTRIES INC,16.68771258,220,300,Microreactor,TRUE,Microreactor,1,20,81668079.77,-34775248.89,-2538032.901,-1738762.444,-126901.6451
10_Base,PLAQUEMINE,Iberville,22047,CHP and/or Cogeneration Process,1000816,325199,325199,2015,LA,800,Electricity Generator,30.3215,-91.2392,Facility,POINT (-10156701.28438565 3544942.974047909),Plaquemine Cogen Facility,Other Basic Organic Chemicals,THE DOW CHEMICAL CO,43.79834461,220,300,Microreactor,TRUE,Microreactor,2,40,193798637.4,-48584957,15295480.86,-1214623.925,382387.0215
10_Base,Waggaman,JEFFERSON PARISH,22051,CHP and/or Cogeneration Process,1004570,325199,325199,2015,LA,GP- LFG,OCS (Other combustion source),29.958889,-90.270472,Facility,POINT (-10048862.97670846 3498266.501589607),Cornerstone Chemical Company,Other Basic Organic Chemicals,H.I.G. BBC Holdings Corporation,66.01024629,220,300,Microreactor,TRUE,Microreactor,3,60,290697956.1,-72877435.5,22004698.64,-1214623.925,366744.9774
10_Base,PASADENA,HARRIS,48201,Process Heating,1005903,324110,324110,2015,TX,HTREF201,PRH (Process Heater),29.723889,-95.208888,Facility,POINT (-10598604.93115381 3468107.49423528),PASADENA REFINING SYSTEM,Petroleum Refineries,PETROBRAS AMERICA INC,27.14691661,220,300,Microreactor,TRUE,Microreactor,1,20,96899318.69,-24292478.5,7944737.482,-1214623.925,397236.8741
10_Base,WESTLAKE,CALCASIEU,22019,Process Heating,1006012,324110,324110,2015,LA,WLPT,"TODF (Thermal oxidizer, direct fired, no heat recovery)",30.242155,-93.274386,Facility,POINT (-10383257.15357525 3534714.742167235),PHILLIPS 66 CO - LAKE CHARLES REFINERY,Petroleum Refineries,Phillips 66,17.05019944,220,300,Microreactor,TRUE,Microreactor,1,20,83442056,-33554324.87,-1317108.883,-1677716.243,-65855.44415
10_Base,ARDMORE,CARTER COUNTY,40019,Process Heating,1007786,324110,324110,2015,OK,H-210001,PRH (Process Heater),34.20569,-97.10417,Facility,POINT (-10809586.75830347 4056454.720639093),VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,Petroleum Refineries,VALERO CORP,19.30409248,220,300,Microreactor,TRUE,Microreactor,1,20,94472394.42,-25962788.44,6274427.54,-1298139.422,313721.377
10_Base,Tyler,SMITH,48423,Process Heating,1006444,324110,324110,2015,TX,SRU1 Furnance-92-F-004,F (Furnace),32.362643,-95.280179,Facility,POINT (-10606541.00897196 3811007.858374303),"Delek Refining, Ltd",Petroleum Refineries,DELEK US HOLDINGS INC,37.39408037,220,300,Microreactor,TRUE,Microreactor,2,40,183003076.3,-56014909.9,7865527.963,-1400372.748,196638.1991
